年度,行政區,印尼男性,印尼女性,馬來西亞男性,馬來西亞女性,新加坡男性,新加坡女性,菲律賓男性,菲律賓女性,泰國男性,泰國女性,緬甸男性,緬甸女性,越南男性,越南女性,柬埔寨男性,柬埔寨女性,寮國男性,寮國女性,其他國家男性,其他國家女性,大陸地區含港澳地區男性,大陸地區含港澳地區女性
110,鹽埕,1,6,1,4,1,2,1,17,1,4,1,0,1,53,0,1,0,0,59,12,17,252 
110,鼓山,3,57,23,24,17,3,2,23,6,18,2,4,2,306,1,4,1,1,308,93,141,1045 
110,左營,1,55,30,25,13,7,5,45,2,18,0,2,6,440,0,12,0,0,306,79,164,1952 
110,楠梓,5,107,16,30,10,2,12,224,14,48,1,5,17,771,0,25,0,0,232,50,117,1513 
110,三民,10,129,69,52,32,5,9,82,24,55,5,14,14,1050,0,34,0,1,731,129,266,2646 
110,新興,1,10,11,9,2,2,0,12,8,6,1,0,1,81,0,1,0,0,111,40,42,270 
110,前金,4,7,5,7,2,0,1,5,1,3,1,1,2,48,0,0,0,0,108,34,32,210 
110,苓雅,2,60,28,25,13,2,1,42,8,20,0,4,8,423,0,18,0,0,365,85,123,1294 
110,前鎮,2,156,30,25,15,8,5,63,7,61,2,6,9,801,0,31,0,1,317,68,116,1643 
110,旗津,0,123,0,2,0,0,0,17,3,13,0,0,1,252,0,1,0,0,11,3,3,196 
110,小港,5,135,18,21,8,2,4,50,13,37,1,4,10,736,0,20,0,1,180,32,85,1155 
110,鳳山,1,193,25,48,18,7,5,92,19,59,2,16,23,1843,0,54,0,1,311,77,207,3145 
110,林園,1,71,3,5,5,0,1,51,18,27,1,5,10,470,0,11,0,0,56,8,24,680 
110,大寮,2,117,12,13,5,2,3,56,22,38,1,3,20,767,0,28,0,0,91,7,50,1196 
110,大樹,1,43,3,7,1,0,0,9,14,16,0,2,3,271,0,18,0,0,24,7,12,496 
110,大社,0,36,2,3,0,0,0,17,1,3,0,0,3,207,0,5,0,0,34,1,19,321 
110,仁武,3,41,20,8,6,5,1,25,9,16,0,1,6,470,0,13,0,0,134,27,61,688 
110,鳥松,1,17,9,7,4,3,0,13,4,7,0,3,5,175,0,4,0,1,64,12,40,369 
110,岡山,3,35,7,15,3,5,5,31,14,27,0,0,25,448,1,9,0,0,103,32,51,730 
110,橋頭,0,14,6,5,1,2,1,14,1,14,0,0,1,165,0,3,0,0,44,10,16,322 
110,燕巢,0,23,2,1,0,1,1,8,6,5,0,2,2,164,0,9,0,0,18,2,18,306 
110,田寮,0,12,1,0,0,0,1,2,0,0,0,0,0,73,0,5,0,0,4,0,0,89 
110,阿蓮,0,4,4,3,3,0,0,5,3,9,0,1,4,173,0,6,0,0,20,5,5,188 
110,路竹,1,36,6,9,2,0,3,10,12,20,0,2,0,289,0,7,0,0,44,8,23,421 
110,湖內,2,15,3,3,0,0,1,10,7,12,0,1,3,177,0,2,0,0,17,5,6,175 
110,茄萣,0,22,0,3,1,0,1,17,1,8,0,2,1,229,0,10,0,0,21,3,6,341 
110,永安,0,17,0,0,1,1,4,4,2,5,0,1,2,89,0,1,0,0,12,1,5,72 
110,彌陀,1,12,1,1,0,0,0,10,3,5,0,0,0,126,0,5,0,0,15,0,3,151 
110,梓官,1,34,5,4,0,0,0,25,3,17,0,3,2,249,0,7,0,0,29,3,12,337 
110,旗山,0,39,6,4,0,1,3,8,2,10,0,0,3,221,0,9,0,0,40,9,20,257 
110,美濃,0,156,3,5,2,0,1,12,2,17,0,2,0,243,0,11,0,0,26,5,9,462 
110,六龜,0,50,0,2,0,0,0,3,0,3,0,0,0,88,0,5,0,0,7,1,3,87 
110,甲仙,1,6,0,0,1,0,0,5,0,2,0,0,0,34,0,18,0,0,4,0,6,45 
110,杉林,0,29,1,2,1,0,0,0,4,5,0,0,0,78,0,6,0,0,10,2,3,122 
110,內門,0,13,0,1,0,1,0,4,1,3,0,1,1,89,0,5,0,0,4,0,4,111 
110,茂林,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
110,桃源,0,2,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2 
110,那瑪夏,0,2,0,2,0,1,0,1,1,0,0,0,0,6,0,3,0,0,3,0,0,8 
