年度,行政區,國籍,性別,人數
110,鹽埕,印尼,男性,1
110,鹽埕,印尼,女性,6
110,鹽埕,馬來西亞,男性,1
110,鹽埕,馬來西亞,女性,4
110,鹽埕,新加坡,男性,1
110,鹽埕,新加坡,女性,2
110,鹽埕,菲律賓,男性,1
110,鹽埕,菲律賓,女性,17
110,鹽埕,泰國,男性,1
110,鹽埕,泰國,女性,4
110,鹽埕,緬甸,男性,1
110,鹽埕,緬甸,女性,0
110,鹽埕,越南,男性,1
110,鹽埕,越南,女性,53
110,鹽埕,柬埔寨,男性,0
110,鹽埕,柬埔寨,女性,1
110,鹽埕,寮國,男性,0
110,鹽埕,寮國,女性,0
110,鹽埕,其他國家,男性,59
110,鹽埕,其他國家,女性,12
110,鹽埕,大陸地區含港澳地區,男性,17
110,鹽埕,大陸地區含港澳地區,女性,252
110,鼓山,印尼,男性,3
110,鼓山,印尼,女性,57
110,鼓山,馬來西亞,男性,23
110,鼓山,馬來西亞,女性,24
110,鼓山,新加坡,男性,17
110,鼓山,新加坡,女性,3
110,鼓山,菲律賓,男性,2
110,鼓山,菲律賓,女性,23
110,鼓山,泰國,男性,6
110,鼓山,泰國,女性,18
110,鼓山,緬甸,男性,2
110,鼓山,緬甸,女性,4
110,鼓山,越南,男性,2
110,鼓山,越南,女性,306
110,鼓山,柬埔寨,男性,1
110,鼓山,柬埔寨,女性,4
110,鼓山,寮國,男性,1
110,鼓山,寮國,女性,1
110,鼓山,其他國家,男性,308
110,鼓山,其他國家,女性,93
110,鼓山,大陸地區含港澳地區,男性,141
110,鼓山,大陸地區含港澳地區,女性,1045
110,左營,印尼,男性,1
110,左營,印尼,女性,55
110,左營,馬來西亞,男性,30
110,左營,馬來西亞,女性,25
110,左營,新加坡,男性,13
110,左營,新加坡,女性,7
110,左營,菲律賓,男性,5
110,左營,菲律賓,女性,45
110,左營,泰國,男性,2
110,左營,泰國,女性,18
110,左營,緬甸,男性,0
110,左營,緬甸,女性,2
110,左營,越南,男性,6
110,左營,越南,女性,440
110,左營,柬埔寨,男性,0
110,左營,柬埔寨,女性,12
110,左營,寮國,男性,0
110,左營,寮國,女性,0
110,左營,其他國家,男性,306
110,左營,其他國家,女性,79
110,左營,大陸地區含港澳地區,男性,164
110,左營,大陸地區含港澳地區,女性,1952
110,楠梓,印尼,男性,5
110,楠梓,印尼,女性,107
110,楠梓,馬來西亞,男性,16
110,楠梓,馬來西亞,女性,30
110,楠梓,新加坡,男性,10
110,楠梓,新加坡,女性,2
110,楠梓,菲律賓,男性,12
110,楠梓,菲律賓,女性,224
110,楠梓,泰國,男性,14
110,楠梓,泰國,女性,48
110,楠梓,緬甸,男性,1
110,楠梓,緬甸,女性,5
110,楠梓,越南,男性,17
110,楠梓,越南,女性,771
110,楠梓,柬埔寨,男性,0
110,楠梓,柬埔寨,女性,25
110,楠梓,寮國,男性,0
110,楠梓,寮國,女性,0
110,楠梓,其他國家,男性,232
110,楠梓,其他國家,女性,50
110,楠梓,大陸地區含港澳地區,男性,117
110,楠梓,大陸地區含港澳地區,女性,1513
110,三民,印尼,男性,10
110,三民,印尼,女性,129
110,三民,馬來西亞,男性,69
110,三民,馬來西亞,女性,52
110,三民,新加坡,男性,32
110,三民,新加坡,女性,5
110,三民,菲律賓,男性,9
110,三民,菲律賓,女性,82
110,三民,泰國,男性,24
110,三民,泰國,女性,55
110,三民,緬甸,男性,5
110,三民,緬甸,女性,14
110,三民,越南,男性,14
110,三民,越南,女性,1050
110,三民,柬埔寨,男性,0
110,三民,柬埔寨,女性,34
110,三民,寮國,男性,0
110,三民,寮國,女性,1
110,三民,其他國家,男性,731
110,三民,其他國家,女性,129
110,三民,大陸地區含港澳地區,男性,266
110,三民,大陸地區含港澳地區,女性,2646
110,新興,印尼,男性,1
110,新興,印尼,女性,10
110,新興,馬來西亞,男性,11
110,新興,馬來西亞,女性,9
110,新興,新加坡,男性,2
110,新興,新加坡,女性,2
110,新興,菲律賓,男性,0
110,新興,菲律賓,女性,12
110,新興,泰國,男性,8
110,新興,泰國,女性,6
110,新興,緬甸,男性,1
110,新興,緬甸,女性,0
110,新興,越南,男性,1
110,新興,越南,女性,81
110,新興,柬埔寨,男性,0
110,新興,柬埔寨,女性,1
110,新興,寮國,男性,0
110,新興,寮國,女性,0
110,新興,其他國家,男性,111
110,新興,其他國家,女性,40
